verb,sentence,trans,trans_binary_form,v_type,v_tense,dir,ani_sub,ani_obj,ani_match,plu_num_np,plu_sub,plu_obj,conj,rcp_phrase,category
marry,Pershing married Helen,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Penndorf married Mary,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Elmo married Betty,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Anne married Donald,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Mina married Edward,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Allen married Louise,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Diana married Prince,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Marshall married Sarah,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Dreyer married Una,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,John married Martha,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Greg married April,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Newsom married Kimberly,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Herman married Ida,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Remy married Bella,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Behrman married Julia,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Thomas married Jennie,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Montefiore married Judith,1,0,0,0,1,1,1,1,1,0,0,0,0,1
marry,Elijah and Prince Nathan married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Prince William and Kate Middleton married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Chris Bishop and Joy Speed married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Brandi and Jarith married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Robert and Clara married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Arwen and Aragorn married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Anita Eerland and Rolf Zwaan married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,20% of Croats and Serbs married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Neal and Naomi married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Catherine Johnston Ritchie and Thomas Duncan married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Adea and Mallari married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Syed Modi and Amita Kulkarni married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Javed Alam and Jayanti Guha married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Richard Loving and Mildred Loving married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Israel Sieff and Simon Marks married each other,1,0,0,0,0,1,1,1,1,1,0,1,1,1
marry,Sharman married,0,0,0,0,0,1,1,1,0,1,0,0,0,1
marry,Tiepolo married,0,0,0,0,0,1,1,1,0,1,0,0,0,1
marry,Marx married,0,0,0,0,0,1,1,1,0,0,0,0,0,1
marry,Ted married,0,0,0,0,0,1,1,1,0,0,0,0,0,1
marry,Nick married,0,0,0,0,0,1,1,1,0,0,0,0,0,1
rhyme,Groot rhymes with Boat,0,1,1,1,1,1,0,0,1,0,0,0,1,1
rhyme,May rhymed with Macaire,0,1,1,0,1,1,0,0,1,0,0,0,1,1
rhyme,Baris rhymes with Paris,0,1,1,1,1,1,0,0,1,0,0,0,1,1
rhyme,Fn rhymes with Jake,0,1,1,1,1,0,1,0,1,0,0,0,1,1
